gene_id,log2FoldChange,pvalue,padj,Comparison
YML127W,-1.220244,1.903111e-05,0.0001027242,A_vs_E
YMR006C,-2.21163,2.765632e-12,8.0256e-11,A_vs_E
YMR008C,-1.743502,5.635612e-09,7.648868e-08,A_vs_E
YMR008C-A,-1.054903,0.02236787,0.04897944,A_vs_E
YMR013C,-1.324609,1.48676e-05,8.244143e-05,A_vs_E
YMR015C,-2.099609,3.182014e-06,2.159375e-05,A_vs_E
YMR029C,-1.005139,0.0001115596,0.0004908621,A_vs_E
YMR054W,-1.284004,8.831915e-11,1.806097e-09,A_vs_E
YMR062C,-1.001435,0.001146359,0.003802892,A_vs_E
YMR069W,-3.448295,1.151513e-14,5.236807e-13,A_vs_E
YMR081C,-3.137323,1.918132e-14,8.388438e-13,A_vs_E
YMR082C,-1.173124,0.01762271,0.03999732,A_vs_E
YMR084W,-1.958534,0.0001329592,0.0005697984,A_vs_E
YMR088C,-1.064532,0.0001126202,0.0004944579,A_vs_E
YMR090W,-1.175326,0.0008950249,0.003078037,A_vs_E
YMR094W,-1.487471,1.599073e-10,3.110535e-09,A_vs_E
YMR105C,-2.250634,9.569416e-12,2.502834e-10,A_vs_E
YMR105W-A,-2.230968,0.0004326149,0.00163343,A_vs_E
YMR110C,-1.506566,1.456597e-06,1.073338e-05,A_vs_E
YMR119W,-2.062596,3.5642360000000005e-17,2.555347e-15,A_vs_E
YMR120C,-3.052717,3.056883e-07,2.706004e-06,A_vs_E
YMR139W,-1.310722,1.83499e-08,2.209966e-07,A_vs_E
YMR149W,-1.841748,5.085783e-06,3.269278e-05,A_vs_E
YMR150C,-3.837448,5.059684e-12,1.414391e-10,A_vs_E
YMR154C,-1.54142,3.151334e-11,7.219634e-10,A_vs_E
YMR173W,-1.006774,9.870687e-06,5.811784e-05,A_vs_E
YMR178W,-1.465624,5.428554e-06,3.471872e-05,A_vs_E
YMR182C,-1.905604,1.401134e-06,1.041282e-05,A_vs_E
YMR187C,-1.384742,2.415879e-05,0.0001270264,A_vs_E
YMR194C-B,-1.521978,8.515601e-07,6.748254e-06,A_vs_E
YMR195W,-1.643465,8.766875e-07,6.858195e-06,A_vs_E
YMR199W,-1.431702,6.36227e-05,0.0003005556,A_vs_E
YMR203W,-1.263165,0.0009464013,0.00322921,A_vs_E
YMR206W,-3.540571,2.534178e-16,1.529038e-14,A_vs_E
YMR221C,-1.200628,8.309983e-06,5.018933e-05,A_vs_E
YMR237W,-1.021321,6.115587e-05,0.0002900264,A_vs_E
YMR241W,-1.0873,3.344915e-05,0.0001707195,A_vs_E
YMR243C,-1.288813,1.058593e-06,8.135016e-06,A_vs_E
YMR251W,-1.753216,0.0001245387,0.0005371116,A_vs_E
YMR252C,-2.542575,1.54439e-06,1.133918e-05,A_vs_E
YMR253C,-1.605453,9.06409e-11,1.847377e-09,A_vs_E
YMR258C,-2.140927,1.926872e-13,7.031352e-12,A_vs_E
YMR261C,-2.351181,1.174647e-18,1.084591e-16,A_vs_E
YMR262W,-1.861674,3.035966e-14,1.233412e-12,A_vs_E
YMR271C,-2.811845,2.354134e-08,2.76418e-07,A_vs_E
YMR272C,-1.413443,3.979728e-06,2.633275e-05,A_vs_E
YMR297W,-1.59909,1.750393e-08,2.129121e-07,A_vs_E
YMR300C,-2.102211,9.975676e-06,5.862273e-05,A_vs_E
YMR303C,-2.219022,1.559671e-09,2.406236e-08,A_vs_E
YMR319C,-3.272372,4.629864e-41,3.5267989999999995e-38,A_vs_E
YMR320W,-1.229915,0.0006450853,0.002319263,A_vs_E
YNCA0006C,-22.64937,8.502221e-15,3.98558e-13,A_vs_E
YNCB0001W,-3.878948,0.0008438351,0.00292344,A_vs_E
YNCB0003W,-1.141069,0.001751909,0.005458145,A_vs_E
YNCB0009C,-3.916225,1.644001e-23,2.564697e-21,A_vs_E
YNCB0010W,-1.960298,1.940262e-20,2.14981e-18,A_vs_E
YNCB0011C,-6.797882,3.795083e-37,1.779018e-34,A_vs_E
YNCB0013W,-2.434791,9.64116e-07,7.496904e-06,A_vs_E
YNCB0014W,-1.039472,0.0001947363,0.0008029247,A_vs_E
YNCB0017C,-19.36932,1.25461e-06,9.455135e-06,A_vs_E
YNCC0004C,-1.19602,0.0002984017,0.001185437,A_vs_E
YNCC0007C,-3.791786,0.0009363664,0.003202142,A_vs_E
YNCC0010C,-1.527731,0.00276051,0.008024626,A_vs_E
YNCC0011W,-1.341344,0.002247753,0.006727803,A_vs_E
YNCC0012C,-3.713228,1.14777e-19,1.146641e-17,A_vs_E
YNCD0006W,-22.89752,3.681924e-17,2.609028e-15,A_vs_E
YNCD0007C,-3.473512,1.455404e-12,4.479409e-11,A_vs_E
YNCD0008W,-1.417616,5.320203e-05,0.000255286,A_vs_E
YNCD0016C,-5.454523,4.7738180000000004e-18,4.070327e-16,A_vs_E
YNCD0024C,-1.399235,0.001730355,0.005396512,A_vs_E
YNCD0032C,-3.394079,5.516422e-29,1.245077e-26,A_vs_E
